uid,weekDay,name,svalue,evalue
281,Monday,Monday,946710000000,946739000000
281,Monday,,946750000000,946685000000
281,Tuesday,Tuesday,946710000000,946739000000
281,Tuesday,,946750000000,946685000000
281,Wednesday,Wednesday,946710000000,946739000000
281,Wednesday,,946750000000,946685000000
281,Thursday,Thursday,946710000000,946739000000
281,Thursday,,946750000000,946685000000
281,Friday,Friday,946710000000,946739000000
281,Friday,,946750000000,946685000000
281,Saturday,Saturday,946710000000,946739000000
281,Saturday,,946750000000,946685000000
281,Sunday,Sunday,946710000000,946681000000
281,Sunday,,946750000000,946685000000
278,Monday,Monday,946724000000,1653850000000
278,Tuesday,Tuesday,0,0
278,Wednesday,Wednesday,946724000000,1653850000000
278,Thursday,Thursday,946724000000,1653850000000
278,Friday,Friday,946724000000,1653850000000
278,Saturday,Saturday,946724000000,1653850000000
278,Sunday,Sunday,946724000000,1653850000000
290,Monday,Monday,0,0
290,Tuesday,Tuesday,72000000,0
290,Wednesday,Wednesday,72000000,0
290,Thursday,Thursday,72000000,0
290,Friday,Friday,72000000,0
290,Saturday,Saturday,68400000,0
290,Sunday,Sunday,0,0
95,Monday,Monday,946728000000,946681000000
95,Tuesday,Tuesday,946728000000,946681000000
95,Wednesday,Wednesday,946728000000,946681000000
95,Thursday,Thursday,946728000000,946681000000
95,Friday,Friday,946728000000,946681000000
95,Saturday,Saturday,946746000000,946681000000
95,Sunday,Sunday,946746000000,946681000000
94,Monday,Monday,0,0
94,Tuesday,Tuesday,0,0
94,Wednesday,Wednesday,0,0
94,Thursday,Thursday,946742000000,946681000000
94,Friday,Friday,946742000000,946681000000
94,Saturday,Saturday,946742000000,946685000000
94,Sunday,Sunday,946742000000,946760000000
198,Monday,Monday,946710000000,946764000000
198,Tuesday,Tuesday,946710000000,946764000000
198,Wednesday,Wednesday,946710000000,946764000000
198,Thursday,Thursday,946710000000,946764000000
198,Friday,Friday,946710000000,946764000000
198,Saturday,Saturday,946710000000,946764000000
198,Sunday,Sunday,946710000000,946764000000
199,Monday,Monday,0,0
199,Tuesday,Tuesday,0,0
199,Wednesday,Wednesday,946717000000,946685000000
199,Thursday,Thursday,946717000000,946685000000
199,Friday,Friday,946717000000,946685000000
199,Saturday,Saturday,946717000000,946685000000
199,Sunday,Sunday,946717000000,946685000000
108,Monday,Monday,0,0
108,Tuesday,Tuesday,946717000000,946766000000
108,Wednesday,Wednesday,946717000000,946766000000
108,Thursday,Thursday,946717000000,946766000000
108,Friday,Friday,946717000000,946766000000
108,Saturday,Saturday,946717000000,946766000000
108,Sunday,Sunday,946717000000,946766000000
197,Monday,Monday,946717000000,946764000000
197,Tuesday,Tuesday,946717000000,946764000000
197,Wednesday,Wednesday,946717000000,946764000000
197,Thursday,Thursday,946717000000,946764000000
197,Friday,Friday,946717000000,946764000000
197,Saturday,Saturday,946728000000,946764000000
197,Sunday,Sunday,0,0
83,Monday,Monday,41400000,-2678400000
83,Tuesday,Tuesday,0,0
83,Wednesday,Wednesday,41400000,3600000
83,Thursday,Thursday,41400000,3600000
83,Friday,Friday,41400000,3600000
83,Saturday,Saturday,41400000,3600000
83,Sunday,Sunday,41400000,3600000
175,Monday,Monday,0,0
175,Tuesday,Tuesday,0,0
175,Wednesday,Wednesday,63000000,75600000
175,Thursday,Thursday,46800000,75600000
175,Friday,Friday,41400000,79200000
175,Saturday,Saturday,41400000,79200000
175,Sunday,Sunday,41400000,79200000
77,Monday,Monday,21600000,-3600000
77,Tuesday,Tuesday,21600000,-3600000
77,Wednesday,Wednesday,21600000,-3600000
77,Thursday,Thursday,21600000,-3600000
77,Friday,Friday,21600000,-3600000
77,Saturday,Saturday,21600000,-3600000
77,Sunday,Sunday,21600000,-3600000
78,Monday,Monday,0,0
78,Tuesday,Tuesday,946710000000,946764000000
78,Wednesday,Wednesday,946710000000,946764000000
78,Thursday,Thursday,946710000000,946764000000
78,Friday,Friday,946710000000,946690000000
78,Saturday,Saturday,946715000000,946690000000
78,Sunday,Sunday,946724000000,946746000000
76,Monday,Monday,946746000000,946681000000
76,Tuesday,Tuesday,946746000000,946681000000
76,Wednesday,Wednesday,946746000000,946681000000
76,Thursday,Thursday,946724000000,946681000000
76,Friday,Friday,946724000000,946690000000
76,Saturday,Saturday,946724000000,946690000000
76,Sunday,Sunday,946724000000,946681000000
179,Monday,Monday,946750000000,946692000000
179,Tuesday,Tuesday,946750000000,946692000000
179,Wednesday,Wednesday,946750000000,946692000000
179,Thursday,Thursday,946750000000,946692000000
179,Friday,Friday,946732000000,946694000000
179,Saturday,Saturday,946732000000,946694000000
179,Sunday,Sunday,946732000000,946692000000
226,Monday,Monday,39600000,-2678400000
226,Tuesday,Tuesday,39600000,-2678400000
226,Wednesday,Wednesday,39600000,-2678400000
226,Thursday,Thursday,39600000,-2678400000
226,Friday,Friday,39600000,3600000
226,Saturday,Saturday,39600000,3600000
226,Sunday,Sunday,39600000,-2678400000
230,Monday,Monday,25200000,1800000
230,Tuesday,Tuesday,25200000,1800000
230,Wednesday,Wednesday,25200000,1800000
230,Thursday,Thursday,25200000,1800000
230,Friday,Friday,27000000,5400000
230,Saturday,Saturday,27000000,5400000
230,Sunday,Sunday,25200000,1800000
231,Monday,Monday,46800000,79200000
231,Tuesday,Tuesday,46800000,79200000
231,Wednesday,Wednesday,46800000,79200000
231,Thursday,Thursday,46800000,79200000
231,Friday,Friday,46800000,-3600000
231,Saturday,Saturday,46800000,-3600000
231,Sunday,Sunday,0,0
192,Monday,Monday,946728000000,946681000000
192,Tuesday,Tuesday,946728000000,946681000000
192,Wednesday,Wednesday,946728000000,946681000000
192,Thursday,Thursday,946728000000,946681000000
192,Friday,Friday,946728000000,946681000000
192,Saturday,Saturday,946728000000,946681000000
192,Sunday,Sunday,946728000000,946681000000
225,Monday,Monday,25200000,79200000
225,Tuesday,Tuesday,25200000,79200000
225,Wednesday,Wednesday,25200000,79200000
225,Thursday,Thursday,25200000,79200000
225,Friday,Friday,25200000,79200000
225,Saturday,Saturday,25200000,79200000
225,Sunday,Sunday,25200000,79200000
21,Monday,Monday,39600000,-2678400000
21,Tuesday,Tuesday,39600000,-2678400000
