uid,drinkPrice,drinkImage,drinkName,
281,-,dd1,Tanqueray,
281,3.5,dd2,Beefeater,
281,3.5,dd3,Brugal,
281,1,d4,Caña,
281,1.5,d5,Doble,
281,3.5,d8,Barceló,
281,3.5,d10,Cacique,
281,3.5,d12,Johnnie Walker Red,
281,3.5,d13,J&B,
281,2.2,d14,Absolut,
281,2.5,d25,Larios,
281,2.5,d26,Negrita,
281,2.5,d27,Dyc,
278,1.7,d4,Caña,
278,2.7,d5,Doble,
278,6,d1,Tanqueray,
278,6,d2,Beefeater,
278,6,d3,Brugal,
278,6,d6,Seagram's,
278,8,d7,Bombay Sapphire,
278,6,d8,Barceló,
278,6,d9,Santa Teresa,
278,6,d10,Cacique,
278,6,d12,Johnnie Walker Red,
278,6,d13,J&B,
278,8,d14,Absolut,
278,10,d17,Hendrick's,
278,8,d18,Martin Miller's,
278,7,d20,Havana Club 7,
278,10,d21,Johnnie Walker Black,
278,7.5,d22,Jack Daniel's,
278,5.8,d25,Larios,
278,5.8,d27,Dyc,
290,-,d4,Caña,
290,4,d5,Doble,
290,-,d1,Tanqueray,
290,-,d2,Beefeater,
290,7,d3,Brugal,
290,7,d8,Barceló,
290,7,d10,Cacique,
290,7,d12,Johnnie Walker Red,
290,7,d13,J&B,
290,7,d14,Absolut,
95,-,d4,Caña,
95,4.75,d5,Doble,
95,-,d1,Tanqueray,
95,-,d2,Beefeater,
95,13,d3,Brugal,
95,16,d7,Bombay Sapphire,
95,13,d9,Santa Teresa,
95,16,d15,Nordés,
95,16,d17,Hendrick's,
95,16,d18,Martin Miller's,
95,16,d19,Brockman's,
95,16,d23,Grey Goose,
95,16,d24,Belvedere,
94,-,d4,Caña,
94,3,d5,Doble,
94,11,d1,Tanqueray,
94,-,d2,Beefeater,
94,-,d3,Brugal,
94,12,d8,Barceló,
94,12,d21,Johnnie Walker Black,
94,14,d24,Belvedere,
198,-,d4,Caña,
198,3,d5,Doble,
198,7.5,d1,Tanqueray,
198,7.5,d2,Beefeater,
198,7.5,d3,Brugal,
198,10,d15,Nordés,
199,1.5,d4,Caña,
199,2.5,d5,Doble,
199,6.5,d1,Tanqueray,
199,6.5,d2,Beefeater,
199,6.5,d3,Brugal,
199,6.5,d6,Seagram's,
199,6.5,d8,Barceló,
199,6.5,d9,Santa Teresa,
199,6.5,d10,Cacique,
199,6.5,d12,Johnnie Walker Red,
199,6.5,d13,J&B,
199,6.5,d25,Larios,
199,6.5,d26,Negrita,
199,6.5,d27,Dyc,
108,6,dd1,Tanqueray,
108,5,dd2,Beefeater,
108,6,dd3,Brugal,
108,-,d4,Caña,
108,-,d5,Doble,
197,-,d4,Caña,
197,3,d5,Doble,
197,6.5,d1,Tanqueray,
197,6.5,d2,Beefeater,
197,6.5,d3,Brugal,
197,6.5,d6,Seagram's,
197,6.5,d8,Barceló,
197,6.5,d9,Santa Teresa,
197,6.5,d10,Cacique,
197,6.5,d13,J&B,
197,6.5,d20,Havana Club 7,
83,,d4,Caña,
83,2.75,d5,Doble,
83,7,d1,Tanqueray,
83,7,d2,Beefeater,
83,7,d3,Brugal,
83,7,d6,Seagram's,
83,7,d8,Barceló,
83,7,d10,Cacique,
83,7,d12,Johnnie Walker Red,
83,7,d13,J&B,
83,7,d14,Absolut,
175,,d4,Caña,
175,2.8,d5,Doble,
175,6.5,d1,Tanqueray,
175,6.5,d2,Beefeater,
175,6.5,d3,Brugal,
175,6.5,d6,Seagram's,
175,7,d7,Bombay Sapphire,
175,6.5,d8,Barceló,
175,6.5,d9,Santa Teresa,
175,6.5,d10,Cacique,
175,6.5,d12,Johnnie Walker Red,
175,6.5,d13,J&B,
175,6.5,d14,Absolut,
175,8,d15,Nordés,
175,7,d16,Bulldog,
175,9,d17,Hendrick's,
175,8,d18,Martin Miller's,
175,7.5,d21,Johnnie Walker Black,
175,7.5,d22,Jack Daniel's,
175,6.5,d25,Larios,
175,6.5,d27,Dyc,
77,,d4,Caña,
77,,d5,Doble,
77,8,d1,Tanqueray,
77,7,d2,Beefeater,
77,7,d3,Brugal,
77,7,d6,Seagram's,
77,7,d8,Barceló,
77,7,d13,J&B,
77,10,d17,Hendrick's,
77,10,d18,Martin Miller's,
78,1.5,d4,Caña,
78,2.5,d5,Doble,
78,6,d1,Tanqueray,
78,6,d2,Beefeater,
78,6,d3,Brugal,
78,6,d6,Seagram's,
76,8,dd1,Tanqueray,
76,8,dd2,Beefeater,
76,8,dd3,Brugal,
76,-,d4,Caña,
76,-,d5,Doble,
