uid,drinkPrice,drinkImage,drinkName,
0,-,dd1,Tanqueray,
0,3.5,dd2,Beefeater,
0,3.5,dd3,Brugal,
0,1,d4,Caña,
0,1.5,d5,Doble,
0,3.5,d8,Barceló,
0,3.5,d10,Cacique,
0,3.5,d12,Johnnie Walker Red,
0,3.5,d13,J&B,
0,2.2,d14,Absolut,
0,2.5,d25,Larios,
0,2.5,d26,Negrita,
0,2.5,d27,Dyc,
1,-,dd1,Tanqueray,
1,3.5,dd2,Beefeater,
1,3.5,dd3,Brugal,
1,1,d4,Caña,
1,1.5,d5,Doble,
1,3.5,d8,Barceló,
1,3.5,d10,Cacique,
1,3.5,d12,Johnnie Walker Red,
1,3.5,d13,J&B,
1,2.2,d14,Absolut,
1,2.5,d25,Larios,
1,2.5,d26,Negrita,
1,2.5,d27,Dyc,
2,-,dd1,Tanqueray,
2,3.5,dd2,Beefeater,
2,3.5,dd3,Brugal,
2,1,d4,Caña,
2,1.5,d5,Doble,
2,3.5,d8,Barceló,
2,3.5,d10,Cacique,
2,3.5,d12,Johnnie Walker Red,
2,3.5,d13,J&B,
2,2.2,d14,Absolut,
2,2.5,d25,Larios,
2,2.5,d26,Negrita,
2,2.5,d27,Dyc,
3,-,dd1,Tanqueray,
3,3.5,dd2,Beefeater,
3,3.5,dd3,Brugal,
3,1,d4,Caña,
3,1.5,d5,Doble,
3,3.5,d8,Barceló,
3,3.5,d10,Cacique,
3,3.5,d12,Johnnie Walker Red,
3,3.5,d13,J&B,
3,2.2,d14,Absolut,
3,2.5,d25,Larios,
3,2.5,d26,Negrita,
3,2.5,d27,Dyc,
4,-,dd1,Tanqueray,
4,3.5,dd2,Beefeater,
4,3.5,dd3,Brugal,
4,1,d4,Caña,
4,1.5,d5,Doble,
4,3.5,d8,Barceló,
4,3.5,d10,Cacique,
4,3.5,d12,Johnnie Walker Red,
4,3.5,d13,J&B,
4,2.2,d14,Absolut,
4,2.5,d25,Larios,
4,2.5,d26,Negrita,
4,2.5,d27,Dyc,
5,-,dd1,Tanqueray,
5,3.5,dd2,Beefeater,
5,3.5,dd3,Brugal,
5,1,d4,Caña,
5,1.5,d5,Doble,
5,3.5,d8,Barceló,
5,3.5,d10,Cacique,
5,3.5,d12,Johnnie Walker Red,
5,3.5,d13,J&B,
5,2.2,d14,Absolut,
5,2.5,d25,Larios,
5,2.5,d26,Negrita,
5,2.5,d27,Dyc,
6,-,dd1,Tanqueray,
6,3.5,dd2,Beefeater,
6,3.5,dd3,Brugal,
6,1,d4,Caña,
6,1.5,d5,Doble,
6,3.5,d8,Barceló,
6,3.5,d10,Cacique,
6,3.5,d12,Johnnie Walker Red,
6,3.5,d13,J&B,
6,2.2,d14,Absolut,
6,2.5,d25,Larios,
6,2.5,d26,Negrita,
6,2.5,d27,Dyc,
7,-,dd1,Tanqueray,
7,3.5,dd2,Beefeater,
7,3.5,dd3,Brugal,
7,1,d4,Caña,
7,1.5,d5,Doble,
7,3.5,d8,Barceló,
7,3.5,d10,Cacique,
7,3.5,d12,Johnnie Walker Red,
7,3.5,d13,J&B,
7,2.2,d14,Absolut,
7,2.5,d25,Larios,
7,2.5,d26,Negrita,
7,2.5,d27,Dyc,
8,-,dd1,Tanqueray,
8,3.5,dd2,Beefeater,
8,3.5,dd3,Brugal,
8,1,d4,Caña,
8,1.5,d5,Doble,
8,3.5,d8,Barceló,
8,3.5,d10,Cacique,
8,3.5,d12,Johnnie Walker Red,
8,3.5,d13,J&B,
8,2.2,d14,Absolut,
8,2.5,d25,Larios,
8,2.5,d26,Negrita,
8,2.5,d27,Dyc,
9,-,dd1,Tanqueray,
9,3.5,dd2,Beefeater,
9,3.5,dd3,Brugal,
9,1,d4,Caña,
9,1.5,d5,Doble,
9,3.5,d8,Barceló,
9,3.5,d10,Cacique,
9,3.5,d12,Johnnie Walker Red,
9,3.5,d13,J&B,
9,2.2,d14,Absolut,
9,2.5,d25,Larios,
9,2.5,d26,Negrita,
9,2.5,d27,Dyc,
10,1.7,d4,Caña,
10,2.7,d5,Doble,
10,6,d1,Tanqueray,
10,6,d2,Beefeater,
10,6,d3,Brugal,
10,6,d6,Seagram's,
10,8,d7,Bombay Sapphire,
10,6,d8,Barceló,
10,6,d9,Santa Teresa,
10,6,d10,Cacique,
10,6,d12,Johnnie Walker Red,
10,6,d13,J&B,
10,8,d14,Absolut,
10,10,d17,Hendrick's,
10,8,d18,Martin Miller's,
10,7,d20,Havana Club 7,
10,10,d21,Johnnie Walker Black,
10,7.5,d22,Jack Daniel's,
10,5.8,d25,Larios,
10,5.8,d27,Dyc,
11,1.7,d4,Caña,
11,2.7,d5,Doble,
11,6,d1,Tanqueray,
11,6,d2,Beefeater,
11,6,d3,Brugal,
11,6,d6,Seagram's,
11,8,d7,Bombay Sapphire,
11,6,d8,Barceló,
11,6,d9,Santa Teresa,
11,6,d10,Cacique,
11,6,d12,Johnnie Walker Red,
11,6,d13,J&B,
11,8,d14,Absolut,
11,10,d17,Hendrick's,
11,8,d18,Martin Miller's,
11,7,d20,Havana Club 7,
11,10,d21,Johnnie Walker Black,
11,7.5,d22,Jack Daniel's,
11,5.8,d25,Larios,
11,5.8,d27,Dyc,
12,1.7,d4,Caña,
12,2.7,d5,Doble,
12,6,d1,Tanqueray,
12,6,d2,Beefeater,
12,6,d3,Brugal,
12,6,d6,Seagram's,
12,8,d7,Bombay Sapphire,
12,6,d8,Barceló,
12,6,d9,Santa Teresa,
12,6,d10,Cacique,
12,6,d12,Johnnie Walker Red,
12,6,d13,J&B,
12,8,d14,Absolut,
12,10,d17,Hendrick's,
12,8,d18,Martin Miller's,
12,7,d20,Havana Club 7,
12,10,d21,Johnnie Walker Black,
12,7.5,d22,Jack Daniel's,
12,5.8,d25,Larios,
12,5.8,d27,Dyc,
13,1.7,d4,Caña,
13,2.7,d5,Doble,
13,6,d1,Tanqueray,
13,6,d2,Beefeater,
13,6,d3,Brugal,
13,6,d6,Seagram's,
13,8,d7,Bombay Sapphire,
13,6,d8,Barceló,
13,6,d9,Santa Teresa,
13,6,d10,Cacique,
13,6,d12,Johnnie Walker Red,
13,6,d13,J&B,
13,8,d14,Absolut,
13,10,d17,Hendrick's,
13,8,d18,Martin Miller's,
13,7,d20,Havana Club 7,
13,10,d21,Johnnie Walker Black,
13,7.5,d22,Jack Daniel's,
13,5.8,d25,Larios,
13,5.8,d27,Dyc,
14,1.7,d4,Caña,
14,2.7,d5,Doble,
14,6,d1,Tanqueray,
14,6,d2,Beefeater,
14,6,d3,Brugal,
14,6,d6,Seagram's,
14,8,d7,Bombay Sapphire,
14,6,d8,Barceló,
14,6,d9,Santa Teresa,
14,6,d10,Cacique,
14,6,d12,Johnnie Walker Red,
14,6,d13,J&B,
14,8,d14,Absolut,
14,10,d17,Hendrick's,
14,8,d18,Martin Miller's,
14,7,d20,Havana Club 7,
14,10,d21,Johnnie Walker Black,
14,7.5,d22,Jack Daniel's,
14,5.8,d25,Larios,
14,5.8,d27,Dyc,
15,1.7,d4,Caña,
15,2.7,d5,Doble,
15,6,d1,Tanqueray,
15,6,d2,Beefeater,
15,6,d3,Brugal,
15,6,d6,Seagram's,
15,8,d7,Bombay Sapphire,
15,6,d8,Barceló,
15,6,d9,Santa Teresa,
15,6,d10,Cacique,
15,6,d12,Johnnie Walker Red,
15,6,d13,J&B,
15,8,d14,Absolut,
15,10,d17,Hendrick's,
15,8,d18,Martin Miller's,
15,7,d20,Havana Club 7,
15,10,d21,Johnnie Walker Black,
15,7.5,d22,Jack Daniel's,
15,5.8,d25,Larios,
15,5.8,d27,Dyc,
16,1.7,d4,Caña,
16,2.7,d5,Doble,
16,6,d1,Tanqueray,
16,6,d2,Beefeater,
16,6,d3,Brugal,
16,6,d6,Seagram's,
