uid,weekDay,name,svalue,evalue
0,Monday,Monday,946710000000,946738800000
0,Monday,,946749600000,946684800000
0,Tuesday,Tuesday,946710000000,946738800000
0,Tuesday,,946749600000,946684800000
0,Wednesday,Wednesday,946710000000,946738800000
0,Wednesday,,946749600000,946684800000
0,Thursday,Thursday,946710000000,946738800000
0,Thursday,,946749600000,946684800000
0,Friday,Friday,946710000000,946738800000
0,Friday,,946749600000,946684800000
0,Saturday,Saturday,946710000000,946738800000
0,Saturday,,946749600000,946684800000
0,Sunday,Sunday,946710000000,946681200000
0,Sunday,,946749600000,946684800000
1,Monday,Monday,946710000000,946738800000
1,Monday,,946749600000,946684800000
1,Tuesday,Tuesday,946710000000,946738800000
1,Tuesday,,946749600000,946684800000
1,Wednesday,Wednesday,946710000000,946738800000
1,Wednesday,,946749600000,946684800000
1,Thursday,Thursday,946710000000,946738800000
1,Thursday,,946749600000,946684800000
1,Friday,Friday,946710000000,946738800000
1,Friday,,946749600000,946684800000
1,Saturday,Saturday,946710000000,946738800000
1,Saturday,,946749600000,946684800000
1,Sunday,Sunday,946710000000,946681200000
1,Sunday,,946749600000,946684800000
2,Monday,Monday,946710000000,946738800000
2,Monday,,946749600000,946684800000
2,Tuesday,Tuesday,946710000000,946738800000
2,Tuesday,,946749600000,946684800000
2,Wednesday,Wednesday,946710000000,946738800000
2,Wednesday,,946749600000,946684800000
2,Thursday,Thursday,946710000000,946738800000
2,Thursday,,946749600000,946684800000
2,Friday,Friday,946710000000,946738800000
2,Friday,,946749600000,946684800000
2,Saturday,Saturday,946710000000,946738800000
2,Saturday,,946749600000,946684800000
2,Sunday,Sunday,946710000000,946681200000
2,Sunday,,946749600000,946684800000
3,Monday,Monday,946710000000,946738800000
3,Monday,,946749600000,946684800000
3,Tuesday,Tuesday,946710000000,946738800000
3,Tuesday,,946749600000,946684800000
3,Wednesday,Wednesday,946710000000,946738800000
3,Wednesday,,946749600000,946684800000
3,Thursday,Thursday,946710000000,946738800000
3,Thursday,,946749600000,946684800000
3,Friday,Friday,946710000000,946738800000
3,Friday,,946749600000,946684800000
3,Saturday,Saturday,946710000000,946738800000
3,Saturday,,946749600000,946684800000
3,Sunday,Sunday,946710000000,946681200000
3,Sunday,,946749600000,946684800000
4,Monday,Monday,946710000000,946738800000
4,Monday,,946749600000,946684800000
4,Tuesday,Tuesday,946710000000,946738800000
4,Tuesday,,946749600000,946684800000
4,Wednesday,Wednesday,946710000000,946738800000
4,Wednesday,,946749600000,946684800000
4,Thursday,Thursday,946710000000,946738800000
4,Thursday,,946749600000,946684800000
4,Friday,Friday,946710000000,946738800000
4,Friday,,946749600000,946684800000
4,Saturday,Saturday,946710000000,946738800000
4,Saturday,,946749600000,946684800000
4,Sunday,Sunday,946710000000,946681200000
4,Sunday,,946749600000,946684800000
5,Monday,Monday,946710000000,946738800000
5,Monday,,946749600000,946684800000
5,Tuesday,Tuesday,946710000000,946738800000
5,Tuesday,,946749600000,946684800000
5,Wednesday,Wednesday,946710000000,946738800000
5,Wednesday,,946749600000,946684800000
5,Thursday,Thursday,946710000000,946738800000
5,Thursday,,946749600000,946684800000
5,Friday,Friday,946710000000,946738800000
5,Friday,,946749600000,946684800000
5,Saturday,Saturday,946710000000,946738800000
5,Saturday,,946749600000,946684800000
5,Sunday,Sunday,946710000000,946681200000
5,Sunday,,946749600000,946684800000
6,Monday,Monday,946710000000,946738800000
6,Monday,,946749600000,946684800000
6,Tuesday,Tuesday,946710000000,946738800000
6,Tuesday,,946749600000,946684800000
6,Wednesday,Wednesday,946710000000,946738800000
6,Wednesday,,946749600000,946684800000
6,Thursday,Thursday,946710000000,946738800000
6,Thursday,,946749600000,946684800000
6,Friday,Friday,946710000000,946738800000
6,Friday,,946749600000,946684800000
6,Saturday,Saturday,946710000000,946738800000
6,Saturday,,946749600000,946684800000
6,Sunday,Sunday,946710000000,946681200000
6,Sunday,,946749600000,946684800000
7,Monday,Monday,946710000000,946738800000
7,Monday,,946749600000,946684800000
7,Tuesday,Tuesday,946710000000,946738800000
7,Tuesday,,946749600000,946684800000
7,Wednesday,Wednesday,946710000000,946738800000
7,Wednesday,,946749600000,946684800000
7,Thursday,Thursday,946710000000,946738800000
7,Thursday,,946749600000,946684800000
7,Friday,Friday,946710000000,946738800000
7,Friday,,946749600000,946684800000
7,Saturday,Saturday,946710000000,946738800000
7,Saturday,,946749600000,946684800000
7,Sunday,Sunday,946710000000,946681200000
7,Sunday,,946749600000,946684800000
8,Monday,Monday,946710000000,946738800000
8,Monday,,946749600000,946684800000
8,Tuesday,Tuesday,946710000000,946738800000
8,Tuesday,,946749600000,946684800000
8,Wednesday,Wednesday,946710000000,946738800000
8,Wednesday,,946749600000,946684800000
8,Thursday,Thursday,946710000000,946738800000
8,Thursday,,946749600000,946684800000
8,Friday,Friday,946710000000,946738800000
8,Friday,,946749600000,946684800000
8,Saturday,Saturday,946710000000,946738800000
8,Saturday,,946749600000,946684800000
8,Sunday,Sunday,946710000000,946681200000
8,Sunday,,946749600000,946684800000
9,Monday,Monday,946710000000,946738800000
9,Monday,,946749600000,946684800000
9,Tuesday,Tuesday,946710000000,946738800000
9,Tuesday,,946749600000,946684800000
9,Wednesday,Wednesday,946710000000,946738800000
9,Wednesday,,946749600000,946684800000
9,Thursday,Thursday,946710000000,946738800000
9,Thursday,,946749600000,946684800000
9,Friday,Friday,946710000000,946738800000
9,Friday,,946749600000,946684800000
9,Saturday,Saturday,946710000000,946738800000
9,Saturday,,946749600000,946684800000
9,Sunday,Sunday,946710000000,946681200000
9,Sunday,,946749600000,946684800000
10,Monday,Monday,946724400000,1653854023246
10,Tuesday,Tuesday,0,0
10,Wednesday,Wednesday,946724400000,1653854035820
10,Thursday,Thursday,946724400000,1653854041217
10,Friday,Friday,946724400000,1653854048073
10,Saturday,Saturday,946724400000,1653854053781
10,Sunday,Sunday,946724400000,1653854061123
11,Monday,Monday,946724400000,1653854023246
11,Tuesday,Tuesday,0,0
11,Wednesday,Wednesday,946724400000,1653854035820
11,Thursday,Thursday,946724400000,1653854041217
11,Friday,Friday,946724400000,1653854048073
11,Saturday,Saturday,946724400000,1653854053781
11,Sunday,Sunday,946724400000,1653854061123
12,Monday,Monday,946724400000,1653854023246
12,Tuesday,Tuesday,0,0
12,Wednesday,Wednesday,946724400000,1653854035820
12,Thursday,Thursday,946724400000,1653854041217
12,Friday,Friday,946724400000,1653854048073
12,Saturday,Saturday,946724400000,1653854053781
12,Sunday,Sunday,946724400000,1653854061123
13,Monday,Monday,946724400000,1653854023246
13,Tuesday,Tuesday,0,0
13,Wednesday,Wednesday,946724400000,1653854035820
13,Thursday,Thursday,946724400000,1653854041217
13,Friday,Friday,946724400000,1653854048073
13,Saturday,Saturday,946724400000,1653854053781
13,Sunday,Sunday,946724400000,1653854061123
14,Monday,Monday,946724400000,1653854023246
14,Tuesday,Tuesday,0,0
14,Wednesday,Wednesday,946724400000,1653854035820
14,Thursday,Thursday,946724400000,1653854041217
14,Friday,Friday,946724400000,1653854048073
14,Saturday,Saturday,946724400000,1653854053781
14,Sunday,Sunday,946724400000,1653854061123
15,Monday,Monday,946724400000,1653854023246
15,Tuesday,Tuesday,0,0
15,Wednesday,Wednesday,946724400000,1653854035820
15,Thursday,Thursday,946724400000,1653854041217
15,Friday,Friday,946724400000,1653854048073
15,Saturday,Saturday,946724400000,1653854053781
15,Sunday,Sunday,946724400000,1653854061123
16,Monday,Monday,946724400000,1653854023246
16,Tuesday,Tuesday,0,0
16,Wednesday,Wednesday,946724400000,1653854035820
16,Thursday,Thursday,946724400000,1653854041217
16,Friday,Friday,946724400000,1653854048073
16,Saturday,Saturday,946724400000,1653854053781
16,Sunday,Sunday,946724400000,1653854061123
17,Monday,Monday,946724400000,1653854023246
17,Tuesday,Tuesday,0,0
17,Wednesday,Wednesday,946724400000,1653854035820
17,Thursday,Thursday,946724400000,1653854041217
17,Friday,Friday,946724400000,1653854048073
17,Saturday,Saturday,946724400000,1653854053781
17,Sunday,Sunday,946724400000,1653854061123
18,Monday,Monday,946724400000,1653854023246
18,Tuesday,Tuesday,0,0
18,Wednesday,Wednesday,946724400000,1653854035820
18,Thursday,Thursday,946724400000,1653854041217
18,Friday,Friday,946724400000,1653854048073
18,Saturday,Saturday,946724400000,1653854053781
18,Sunday,Sunday,946724400000,1653854061123
19,Monday,Monday,946724400000,1653854023246
19,Tuesday,Tuesday,0,0
19,Wednesday,Wednesday,946724400000,1653854035820
19,Thursday,Thursday,946724400000,1653854041217
19,Friday,Friday,946724400000,1653854048073
19,Saturday,Saturday,946724400000,1653854053781
19,Sunday,Sunday,946724400000,1653854061123
20,Monday,Monday,0,0
20,Tuesday,Tuesday,72000000,0
20,Wednesday,Wednesday,72000000,0
20,Thursday,Thursday,72000000,0
20,Friday,Friday,72000000,0
20,Saturday,Saturday,68400000,0
20,Sunday,Sunday,0,0
21,Monday,Monday,0,0
21,Tuesday,Tuesday,72000000,0
21,Wednesday,Wednesday,72000000,0
21,Thursday,Thursday,72000000,0
21,Friday,Friday,72000000,0
21,Saturday,Saturday,68400000,0
21,Sunday,Sunday,0,0
22,Monday,Monday,0,0
22,Tuesday,Tuesday,72000000,0
22,Wednesday,Wednesday,72000000,0
22,Thursday,Thursday,72000000,0
22,Friday,Friday,72000000,0
22,Saturday,Saturday,68400000,0
22,Sunday,Sunday,0,0
23,Monday,Monday,0,0
23,Tuesday,Tuesday,72000000,0
23,Wednesday,Wednesday,72000000,0
23,Thursday,Thursday,72000000,0
23,Friday,Friday,72000000,0
23,Saturday,Saturday,68400000,0
23,Sunday,Sunday,0,0
24,Monday,Monday,0,0
24,Tuesday,Tuesday,72000000,0
24,Wednesday,Wednesday,72000000,0
24,Thursday,Thursday,72000000,0
24,Friday,Friday,72000000,0
24,Saturday,Saturday,68400000,0
24,Sunday,Sunday,0,0
25,Monday,Monday,0,0
25,Tuesday,Tuesday,72000000,0
25,Wednesday,Wednesday,72000000,0
25,Thursday,Thursday,72000000,0
25,Friday,Friday,72000000,0
25,Saturday,Saturday,68400000,0
25,Sunday,Sunday,0,0
26,Monday,Monday,0,0
26,Tuesday,Tuesday,72000000,0
26,Wednesday,Wednesday,72000000,0
26,Thursday,Thursday,72000000,0
26,Friday,Friday,72000000,0
26,Saturday,Saturday,68400000,0
26,Sunday,Sunday,0,0
